Unidade,CGTE/IFES,,,,,
Edital traduzido.,100%,1/03/2025 a 31/05/2025,Ifes,Público alvo,Estudo e estruturação do texto: análise detalhada do conteúdo e estrutura do edital.                                           Mapeamento de termos e conceitos: identificação de termos-chave e criação de glosas para estrutura da Libras. Planejamento e gravação: preparação e gravação                                                                                                                     Revisão final: revisão do material gravado para garantir a qualidade e a fidelidade da tradução.,
Curso Mooc traduzido.,30%,1/03/2025 a 31/05/2025,Cefor,Público alvo,"1) Análise de conteúdo: revisão do conteúdo dos cursos para compreender tópicos principais e complexidade dos conceitos. 
2) Mapeamento e preparação de glossário: Identificação e pesquisas de termos e conceitos técnicos, incluindo pesquisa de sinais adequados em Libras e elaboração de glosas.
3)Desenvolvimento e gravação da tradução: tradução dos módulos do curso para Libras. 
4) Revisão e feedback : revisão do conteúdo traduzido, incluindo feedback de intérpretes ou pessoas surdas, para promover a garantia da acessibilidade e alinhamento com o conteúdo original.",
Material didatico traduzido para Libras.,50%,1/03/2025 a 31/05/2025,Cefor,Público alvo,Tradução em contexto de sala de aula (presencial e/ou EaD),
Interpretação em evento externo realizada. ,100%,1/03/2025 a 31/05/2025,Cefor,Público alvo,"Interpretação em eventos de qualquer natureza como lives, aulas, seminários, congressos, colóquios, encontros, fóruns e reuniões presenciais.",
Atividade da comissão Napne realizada.,100%,1/03/2025 a 31/05/2025,Cefor,Público alvo,"A comissão de atendimento aos alunos com deficiências, transtornos de desenvolvimento ou altas habilidades tem como objetivo oferecer um suporte especializado. O trabalho inclui a realização de uma avaliação diagnóstica para identificar as necessidades de cada aluno, seguida da elaboração de um Plano de Atendimento Individualizado (RAI), que contempla adaptações curriculares e estratégias pedagógicas diferenciadas. Além disso, a comissão oferece orientação a professores e equipe pedagógica, promove reuniões, realiza entrevistas com alunos, e elabora documentos institucionais e instruções normativas, visando garantir um atendimento eficaz e integrado.",
Videobook em Libras atualizado.,100%%,1/03/2025 a 31/05/2025,Cefor,Público alvo,"Reunir com a equipe 
Alimentação de termos para o videobook
Definir os verbetes
Elaborar os textos para os verbetes
Gravar os verbetes em Libras
",
Atividades da comissão do repositório de vídeos em Libras realizada.,100%,1/03/2025 a 31/05/2025,Cefor,Cefor,"Reunir com a equipe 
Implementação do repositório Institucional de materiais acessíveis em Libras.
",
Colaboração técnica realizada em outros campi ou instituiçoes. ,100%,1/03/2025 a 31/05/2025,Ifes,Público alvo,"Realizar colaboração técnica em outros campi ou instituições.",
Audiovisual,,,,,,
PGD trimestral elaborado,100%,1/03/2025 a 31/05/2025,CGTE 1724,CGTE 1724,"Reunir com a equipe
Definir as entregas
Atualizar a planilha com as entregas do plano trimestral",PGD trimestral elaborado
Evento transmitido,100%,1/11/2024 a 30/11/2024,Qualquer unidade do Ifes,Demandante,"Transmissão online ou presencial de eventos de qualquer natureza como aulas, seminários, congressos, colóquios, encontros, fóruns e reuniões similares ao contexto de conferências",
Edital traduzido do português para Libras gravado.,100%,1/11/2024 a 30/11/2023,Qualquer unidade do Ifes,Demandante,"Estruturação do texto para teleprompter;
Seleção de armazenamento para gravação do material;
Operação da camera e iluminação;
Armazenamento e transferencia do material gravado para o servidor de arquivos;",
Edital traduzido do português para Libras renderizado e publicado,100%,1/11/2024 a 30/11/2024,Qualquer unidade do Ifes,Demandante,"Transferencia do material gravado do servidor de arquivos para o computador;
Operação do aplicativo de edição;
Decupagem do material;
Aplicação do padrão visual para edital;
Inserção de links e demais informações importantes;
Finalização e exportação do material;
Publicação do material produzido no youtube;",
Transmissão do Conselho Superior(Online ou presencial),100%,1/11/2024 a 30/11/2025,Reitoria,Demandante,Transmissão presencial ou online das reuniões do Conselho Superior;,Conselho superior transmitido
Material didatico traduzido para Libras gravado,100%,1/11/2024 a 30/11/2023,Cefor,Demandante,"Estruturação do texto para teleprompter;
Seleção de armazenamento para gravação do material;
Operação da camera e iluminação;
Armazenamento e transferencia do material gravado para o servidor de arquivos;",
"Material didatico traduzido para Libras editado, renderizado e publicado",100%,1/11/2024 a 30/11/2024,Cefor,Demandante,"Transferencia do material gravado do servidor de arquivos para o computador;
Operação do aplicativo de edição;
Decupagem do material;
Aplicação do padrão visual para videos do Cefor;
Inserção de links e demais informações importantes;
Finalização e exportação do material;
Publicação do material produzido no youtube;",
Atividade da comissão de Política de Produção de Materiais Didáticos realizada,40%,,CGTE,CEFOR/IFES,Participar das reuniões da comissão.                                                                                  Participar da escrita da política de Produção de Materiais Didáticos,Atividade da comissão de Política de Material Didático realizada
Reuniões internas de planejamento de atividades do setor,100%,1/11/2024 a 30/11/2024,CGTE,Demandante,"Avaliação e planejamento: Realizar reuniões para planejar as ações semanais do setor de audiovisual;
Apoiar as ações propostas pelo audiovisual;
Realizar as ações planejadas;",Nos 20% junto com emails e afins
Atividade da Comissão NAC realizada,100%,1/11/2024 a 30/11/2024,Nac Cefor,Publico em geral,"Avaliação e planejamento: Realizar reuniões para planejar as ações semestrais do NAC;
Apoiar as ações propostas pelo NAC;
Realizar as ações planejadas;",
Atividade da Comissão Nepgens realizada,100%,1/11/2024 a 30/11/2025,Nepgens Cefor,Publico em geral,"Avaliação e planejamento: Realizar reuniões para planejar as ações semestrais do Nepgens;
Apoiar as ações propostas pelo Nepgens;
Realizar as ações planejadas;",
Colaboração técnica realizada em outros campi ou instituiçoes. ,100%,1/11/2024 a 30/11/2024,Qualquer IF ou UF,,,Colaboração técnica realizada em outros campi ou instituições
Material didatico docente gravado,100%,1/11/2024 a 30/11/2023,Cefor,Demandante,"Estruturação do texto para teleprompter;
Seleção de armazenamento para gravação do material;
Operação da camera e iluminação;
Armazenamento e transferencia do material gravado para o servidor de arquivos;",
"Material didatico docente editado, renderizado e publicado",100%,1/11/2024 a 30/11/2024,Cefor,Demandante,"Transferencia do material gravado do servidor de arquivos para o computador;
Operação do aplicativo de edição;
Decupagem do material;
Aplicação do padrão visual para videos do Cefor;
Inserção de links e demais informações importantes;
Finalização e exportação do material;
Publicação do material produzido no youtube;",
